Device;Net1;Net2;Capacitance [fF];Resistance [Ω]
C1;$10;$11;0.17;
C2;$10;$15;0.498;
C3;$10;$41;0.0;
C4;$10;$44;0.01;
C5;$10;$50;0.0;
C6;$10;$7;0.005;
C7;$10;$76;0.002;
C8;$10;$77;0.001;
C9;$10;$8;0.023;
C10;$10;$9;0.612;
C11;$10;RST;0.06;
C12;$10;SPIKE;0.0;
C13;$10;VDD;0.252;
C14;$10;VSS;0.086;
C15;$10;VSUBS;0.372;
C16;$100;$104;0.0;
C17;$100;$105;0.041;
C18;$100;$130;0.966;
C19;$100;$131;0.207;
C20;$100;$132;0.212;
C21;$100;$133;0.268;
C22;$100;$134;0.019;
C23;$100;$135;0.014;
C24;$100;$138;0.759;
C25;$100;$139;0.0;
C26;$100;$164;0.009;
C27;$100;$165;0.266;
C28;$100;$171;0.098;
C29;$100;$172;0.009;
C30;$100;$196;0.01;
C31;$100;$199;0.0;
C32;$100;$3;1.084;
C33;$100;$41;0.0;
C34;$100;$46;0.633;
C35;$100;$47;0.022;
C36;$100;$48;0.0;
C37;$100;$50;0.0;
C38;$100;$76;0.029;
C39;$100;$77;0.0;
C40;$100;RST;0.001;
C41;$100;SPIKE;0.007;
C42;$100;VDD;0.563;
C43;$100;Vref;0.244;
C44;$100;VSS;0.269;
C45;$100;VSUBS;1.352;
C46;$100;Vx;0.005;
C47;$104;$130;0.046;
C48;$104;$138;0.001;
C49;$104;$164;0.001;
C50;$104;$196;0.021;
C51;$104;$76;0.212;
C52;$104;VDD;0.236;
C53;$104;VSUBS;0.03;
C54;$105;$130;0.0;
C55;$105;$138;0.022;
C56;$105;$165;0.001;
C57;$105;$46;0.212;
C58;$105;$76;0.012;
C59;$105;VDD;0.238;
C60;$105;VSUBS;0.03;
C61;$106;$130;0.0;
C62;$106;$133;0.0;
C63;$106;$46;0.02;
C64;$106;$49;0.0;
C65;$106;$50;0.2;
C66;$106;$76;0.003;
C67;$106;$77;0.056;
C68;$106;VDD;0.217;
C69;$106;VSUBS;0.028;
C70;$107;$133;0.0;
C71;$107;$135;0.0;
C72;$107;$46;0.001;
C73;$107;$48;0.02;
C74;$107;$50;0.21;
C75;$107;$51;0.0;
C76;$107;$76;0.029;
C77;$107;$77;0.004;
C78;$107;VDD;0.252;
C79;$107;VSUBS;0.03;
C80;$11;$12;0.226;
C81;$11;$15;0.252;
C82;$11;$50;0.007;
C83;$11;$78;0.002;
C84;$11;$9;0.005;
C85;$11;RST;0.107;
C86;$11;SPIKE;0.0;
C87;$11;VDD;0.329;
C88;$11;VSS;0.202;
C89;$11;VSUBS;0.81;
C90;$12;$13;0.225;
C91;$12;$15;0.205;
C92;$12;$52;0.002;
C93;$12;$78;0.008;
C94;$12;$9;0.001;
C95;$12;RST;0.105;
C96;$12;SPIKE;0.0;
C97;$12;VDD;0.333;
C98;$12;VSS;0.205;
C99;$12;VSUBS;0.808;
C100;$13;$14;0.227;
C101;$13;$15;0.199;
C102;$13;$52;0.003;
C103;$13;$9;0.0;
C104;$13;RST;0.106;
C105;$13;VDD;0.336;
C106;$13;VSS;0.21;
C107;$13;VSUBS;0.811;
C108;$130;$131;0.013;
C109;$130;$132;0.693;
C110;$130;$133;0.841;
C111;$130;$134;0.002;
C112;$130;$135;0.396;
